left_gate,left_orientation,right_gate,right_orientation,gap,power_rail_compatibility,boundary_DRC,Pin_obstruction,same_net_rail_stitching,foreign_net_risk,legal,reason,trial_gds_path,trial_gds_sha256,trial_lyrdb_path
PINV,R0,PNAND3,MY,0.07,True,20,False,True,True,False,drc_marker_count=20,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND3_MY__g0p07.gds,0baeeefa44dc47f4674fd8c6d13b1023e1546d6620a306c6c01ae098a82f638d,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND3_MY__g0p07_drc/PAIR__PINV_R0__PNAND3_MY__g0p07.lyrdb
PINV,R0,PNAND3,MY,0.14,True,41,False,True,True,False,drc_marker_count=41,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND3_MY__g0p14.gds,ba97d5e467d0cf35dbdb7848443301c81148e4992c39b70e65815ecb0fd18b27,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND3_MY__g0p14_drc/PAIR__PINV_R0__PNAND3_MY__g0p14.lyrdb
PINV,R0,AND2,R0,0.0,True,0,False,True,False,True,,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__AND2_R0__g0p0.gds,a7dea00a650b866c42e59f6904b5ed73442083bd54c82b24485b17b80713c15a,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__AND2_R0__g0p0_drc/PAIR__PINV_R0__AND2_R0__g0p0.lyrdb
PINV,R0,AND2,R0,0.0025,True,1,False,True,True,False,drc_marker_count=1,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__AND2_R0__g0p0025.gds,8a1a59aadb909c46b40c20d82a9f48dd029bf4c31793f1ed493501f841bf481e,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__AND2_R0__g0p0025_drc/PAIR__PINV_R0__AND2_R0__g0p0025.lyrdb
PINV,R0,AND2,R0,0.07,True,1,False,True,True,False,drc_marker_count=1,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__AND2_R0__g0p07.gds,e6e4d0a709172175f9271d2874aca4e9bed44a7e7d0d2aa092d5f1ffa6f4b435,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__AND2_R0__g0p07_drc/PAIR__PINV_R0__AND2_R0__g0p07.lyrdb
PINV,R0,AND2,R0,0.14,True,1,False,True,True,False,drc_marker_count=1,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__AND2_R0__g0p14.gds,22d2ff9acbe95b1ba42b285b43f0a9c9fa330c6d970dc7994de6d7d9d6fc4dd5,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__AND2_R0__g0p14_drc/PAIR__PINV_R0__AND2_R0__g0p14.lyrdb
PINV,R0,AND2,R180,0.0,True,0,False,True,False,True,,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__AND2_R180__g0p0.gds,376a3421bb96503daa049fbc838842e85c9103d8933bea0e5ad723acf2b908f9,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__AND2_R180__g0p0_drc/PAIR__PINV_R0__AND2_R180__g0p0.lyrdb
PINV,R0,AND2,R180,0.0025,True,0,False,True,False,True,,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__AND2_R180__g0p0025.gds,21dd8b70d6c52c47d0600a522a837512b7c0e22d2a85fb727a1322d4aee14b29,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__AND2_R180__g0p0025_drc/PAIR__PINV_R0__AND2_R180__g0p0025.lyrdb
PINV,R0,AND2,R180,0.07,True,0,False,True,False,True,,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__AND2_R180__g0p07.gds,a49886ad2e45b7442f2e9ad4111b2d8a95310e6b0ca42e4aec91611682a81b9a,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__AND2_R180__g0p07_drc/PAIR__PINV_R0__AND2_R180__g0p07.lyrdb
PINV,R0,AND2,R180,0.14,True,0,False,True,False,True,,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__AND2_R180__g0p14.gds,8d6dda8d658783ad21c8646eb8f2f8f1af58774ddc225361c3f82fca91067baf,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__AND2_R180__g0p14_drc/PAIR__PINV_R0__AND2_R180__g0p14.lyrdb
PINV,R0,AND2,MX,0.0,False,0,False,False,False,True,,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__AND2_MX__g0p0.gds,709a47a7574845a26e6c78dafbce95a62ac9cb7e53a2d91128c03e432c5139be,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__AND2_MX__g0p0_drc/PAIR__PINV_R0__AND2_MX__g0p0.lyrdb
