candidate_id,relative_path,size_bytes,top_cell,cell_count,sref_count,boundary_count,bbox,contains_complete_sram_top,candidate_score,mux_present,power_rail_overlap_positive_count,rail_stitch_visible,selection_reasons,selected_as_golden
GDS_086,full_layout_collection/sram_4x32_wpr2/sram_4x32_wpr2_fd45.route_guides.gds,317462,sram_4x32_wpr2_fd45,33,338,4545,"{""x0"": -0.1, ""y0"": -0.105, ""x1"": 19.3925, ""y1"": 47.015, ""width"": 19.4925, ""height"": 47.12, ""shape_count"": 4545}",True,34,True,,UNKNOWN,filename contains final/full/top; filename contains sram; non-golden export class: route_guides; top cell looks like SRAM top; contains 8 expected SRAM structure categories,False
GDS_087,full_layout_collection/sram_64x64_wpr1/sram_64x64_wpr1_fd45.architecture.gds,768910,sram_64x64_wpr1_fd45,33,4897,8982,"{""x0"": -0.1, ""y0"": -0.105, ""x1"": 66.1025, ""y1"": 118.275, ""width"": 66.2025, ""height"": 118.38000000000001, ""shape_count"": 8982}",True,34,True,,UNKNOWN,filename contains final/full/top; filename contains sram; non-golden export class: architecture; top cell looks like SRAM top; contains 8 expected SRAM structure categories,False
GDS_088,full_layout_collection/sram_64x64_wpr1/sram_64x64_wpr1_fd45.complete.gds,1000650,sram_64x64_wpr1_fd45,33,4897,12618,"{""x0"": -0.1, ""y0"": -0.105, ""x1"": 66.1025, ""y1"": 118.275, ""width"": 66.2025, ""height"": 118.38000000000001, ""shape_count"": 12618}",True,134,True,126,True,filename contains complete; filename contains final/full/top; filename contains sram; top cell looks like SRAM top; contains 8 expected SRAM structure categories,False
GDS_089,full_layout_collection/sram_64x64_wpr1/sram_64x64_wpr1_fd45.debug.gds,1006222,sram_64x64_wpr1_fd45,33,4897,12690,"{""x0"": -0.1, ""y0"": -0.105, ""x1"": 66.1025, ""y1"": 118.275, ""width"": 66.2025, ""height"": 118.38000000000001, ""shape_count"": 12690}",True,34,True,126,True,filename contains final/full/top; filename contains sram; non-golden export class: debug; top cell looks like SRAM top; contains 8 expected SRAM structure categories,False
GDS_090,full_layout_collection/sram_64x64_wpr1/sram_64x64_wpr1_fd45.gds,763338,sram_64x64_wpr1_fd45,33,4897,8910,"{""x0"": -0.1, ""y0"": -0.105, ""x1"": 66.1025, ""y1"": 118.275, ""width"": 66.2025, ""height"": 118.38000000000001, ""shape_count"": 8910}",True,94,True,126,True,filename contains final/full/top; filename contains sram; top cell looks like SRAM top; contains 8 expected SRAM structure categories,False
GDS_091,full_layout_collection/sram_64x64_wpr1/sram_64x64_wpr1_fd45.integration.gds,436672,sram_64x64_wpr1_fd45,1,0,6726,"{""x0"": 0.0, ""y0"": 0.0, ""x1"": 66.1025, ""y1"": 118.275, ""width"": 66.1025, ""height"": 118.275, ""shape_count"": 6726}",True,-5,False,,UNKNOWN,filename contains final/full/top; filename contains sram; non-golden export class: integration; top cell looks like SRAM top,False
GDS_092,full_layout_collection/sram_64x64_wpr1/sram_64x64_wpr1_fd45.presentation.gds,750828,sram_64x64_wpr1_fd45,33,4897,8910,"{""x0"": -0.1, ""y0"": -0.105, ""x1"": 66.1025, ""y1"": 118.275, ""width"": 66.2025, ""height"": 118.38000000000001, ""shape_count"": 8910}",True,34,True,,UNKNOWN,filename contains final/full/top; filename contains sram; non-golden export class: presentation; top cell looks like SRAM top; contains 8 expected SRAM structure categories,False
GDS_093,full_layout_collection/sram_64x64_wpr1/sram_64x64_wpr1_fd45.route_guides.gds,1000650,sram_64x64_wpr1_fd45,33,4897,12618,"{""x0"": -0.1, ""y0"": -0.105, ""x1"": 66.1025, ""y1"": 118.275, ""width"": 66.2025, ""height"": 118.38000000000001, ""shape_count"": 12618}",True,34,True,,UNKNOWN,filename contains final/full/top; filename contains sram; non-golden export class: route_guides; top cell looks like SRAM top; contains 8 expected SRAM structure categories,False
GDS_094,full_layout_collection/sram_8x64_wpr4/sram_8x64_wpr4_fd45.architecture.gds,332998,sram_8x64_wpr4_fd45,33,788,4515,"{""x0"": -0.1, ""y0"": -0.105, ""x1"": 36.6225, ""y1"": 44.145, ""width"": 36.722500000000004, ""height"": 44.25, ""shape_count"": 4515}",True,134,True,,UNKNOWN,matches current project target 8x64_wpr4; filename contains final/full/top; filename contains sram; non-golden export class: architecture; top cell looks like SRAM top; contains 8 expected SRAM structure categories,False
GDS_095,full_layout_collection/sram_8x64_wpr4/sram_8x64_wpr4_fd45.complete.gds,389826,sram_8x64_wpr4_fd45,33,788,5418,"{""x0"": -0.1, ""y0"": -0.105, ""x1"": 36.6225, ""y1"": 44.145, ""width"": 36.722500000000004, ""height"": 44.25, ""shape_count"": 5418}",True,234,True,30,True,matches current project target 8x64_wpr4; filename contains complete; filename contains final/full/top; filename contains sram; top cell looks like SRAM top; contains 8 expected SRAM structure categories,True
GDS_096,full_layout_collection/sram_8x64_wpr4/sram_8x64_wpr4_fd45.debug.gds,395398,sram_8x64_wpr4_fd45,33,788,5490,"{""x0"": -0.1, ""y0"": -0.105, ""x1"": 36.6225, ""y1"": 44.145, ""width"": 36.722500000000004, ""height"": 44.25, ""shape_count"": 5490}",True,134,True,30,True,matches current project target 8x64_wpr4; filename contains final/full/top; filename contains sram; non-golden export class: debug; top cell looks like SRAM top; contains 8 expected SRAM structure categories,False
GDS_097,full_layout_collection/sram_8x64_wpr4/sram_8x64_wpr4_fd45.gds,327426,sram_8x64_wpr4_fd45,33,788,4443,"{""x0"": -0.1, ""y0"": -0.105, ""x1"": 36.6225, ""y1"": 44.145, ""width"": 36.722500000000004, ""height"": 44.25, ""shape_count"": 4443}",True,194,True,30,True,matches current project target 8x64_wpr4; filename contains final/full/top; filename contains sram; top cell looks like SRAM top; contains 8 expected SRAM structure categories,False
GDS_098,full_layout_collection/sram_8x64_wpr4/sram_8x64_wpr4_fd45.integration.gds,145860,sram_8x64_wpr4_fd45,1,0,2259,"{""x0"": 0.0, ""y0"": 0.0, ""x1"": 36.6225, ""y1"": 44.145, ""width"": 36.6225, ""height"": 44.145, ""shape_count"": 2259}",True,91,False,,UNKNOWN,matches current project target 8x64_wpr4; filename contains final/full/top; filename contains sram; non-golden export class: integration; top cell looks like SRAM top,False
GDS_099,full_layout_collection/sram_8x64_wpr4/sram_8x64_wpr4_fd45.presentation.gds,319840,sram_8x64_wpr4_fd45,33,788,4443,"{""x0"": -0.1, ""y0"": -0.105, ""x1"": 36.6225, ""y1"": 44.145, ""width"": 36.722500000000004, ""height"": 44.25, ""shape_count"": 4443}",True,134,True,,UNKNOWN,matches current project target 8x64_wpr4; filename contains final/full/top; filename contains sram; non-golden export class: presentation; top cell looks like SRAM top; contains 8 expected SRAM structure categories,False
GDS_100,full_layout_collection/sram_8x64_wpr4/sram_8x64_wpr4_fd45.route_guides.gds,389826,sram_8x64_wpr4_fd45,33,788,5418,"{""x0"": -0.1, ""y0"": -0.105, ""x1"": 36.6225, ""y1"": 44.145, ""width"": 36.722500000000004, ""height"": 44.25, ""shape_count"": 5418}",True,134,True,,UNKNOWN,matches current project target 8x64_wpr4; filename contains final/full/top; filename contains sram; non-golden export class: route_guides; top cell looks like SRAM top; contains 8 expected SRAM structure categories,False
