logical_net,route_group,physical_component,status,route_length
DOUT[0],DIN_DOUT,DOUT[0],CONNECTED_BY_TOP_ROUTE_GEOMETRY,47.98
DIN[1],DIN_DOUT,DIN[1],CONNECTED_BY_TOP_ROUTE_GEOMETRY,41.535
DOUT[1],DIN_DOUT,DOUT[1],CONNECTED_BY_TOP_ROUTE_GEOMETRY,48.075
DIN[2],DIN_DOUT,DIN[2],CONNECTED_BY_TOP_ROUTE_GEOMETRY,41.44
DOUT[2],DIN_DOUT,DOUT[2],CONNECTED_BY_TOP_ROUTE_GEOMETRY,48.17
DIN[3],DIN_DOUT,DIN[3],CONNECTED_BY_TOP_ROUTE_GEOMETRY,41.345
DOUT[3],DIN_DOUT,DOUT[3],CONNECTED_BY_TOP_ROUTE_GEOMETRY,48.265
DIN[4],DIN_DOUT,DIN[4],CONNECTED_BY_TOP_ROUTE_GEOMETRY,41.25
DOUT[4],DIN_DOUT,DOUT[4],CONNECTED_BY_TOP_ROUTE_GEOMETRY,48.36
DIN[5],DIN_DOUT,DIN[5],CONNECTED_BY_TOP_ROUTE_GEOMETRY,41.155
DOUT[5],DIN_DOUT,DOUT[5],CONNECTED_BY_TOP_ROUTE_GEOMETRY,48.455
DIN[6],DIN_DOUT,DIN[6],CONNECTED_BY_TOP_ROUTE_GEOMETRY,41.06
DOUT[6],DIN_DOUT,DOUT[6],CONNECTED_BY_TOP_ROUTE_GEOMETRY,48.55
DIN[7],DIN_DOUT,DIN[7],CONNECTED_BY_TOP_ROUTE_GEOMETRY,40.965
DOUT[7],DIN_DOUT,DOUT[7],CONNECTED_BY_TOP_ROUTE_GEOMETRY,48.645
DIN[8],DIN_DOUT,DIN[8],CONNECTED_BY_TOP_ROUTE_GEOMETRY,40.87
DOUT[8],DIN_DOUT,DOUT[8],CONNECTED_BY_TOP_ROUTE_GEOMETRY,48.74
DIN[9],DIN_DOUT,DIN[9],CONNECTED_BY_TOP_ROUTE_GEOMETRY,40.775
DOUT[9],DIN_DOUT,DOUT[9],CONNECTED_BY_TOP_ROUTE_GEOMETRY,48.835
DIN[10],DIN_DOUT,DIN[10],CONNECTED_BY_TOP_ROUTE_GEOMETRY,40.68
