parent_module,source_line,source_loop_context,instance_name_expression,child_module,child_pin_index,child_pin_name,parent_net_expression,normalized_parent_net,branch_condition,active_for_config,condition_evaluation,condition_input_values,condition_evaluation_source
TIME,554,,'dff_buf_data',DATA_DFF,15,DIN_dff4,DIN12,DIN12,operation == 'write' or operation == 'read&write',True,ACTIVE_FOR_CONFIG,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",TIME
TIME,554,,'dff_buf_data',DATA_DFF,16,DIN_dff5,DIN13,DIN13,operation == 'write' or operation == 'read&write',True,ACTIVE_FOR_CONFIG,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",TIME
TIME,554,,'dff_buf_data',DATA_DFF,17,DIN_dff6,DIN14,DIN14,operation == 'write' or operation == 'read&write',True,ACTIVE_FOR_CONFIG,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",TIME
TIME,554,,'dff_buf_data',DATA_DFF,18,DIN_dff7,DIN15,DIN15,operation == 'write' or operation == 'read&write',True,ACTIVE_FOR_CONFIG,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",TIME
DATA_DFF,479,i in range(num_cols),f'dff_{i}',DFF,0,VDD,VDD,VDD,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",DATA_DFF
DATA_DFF,479,i in range(num_cols),f'dff_{i}',DFF,1,VSS,VSS,VSS,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",DATA_DFF
DATA_DFF,479,i in range(num_cols),f'dff_{i}',DFF,2,D,DIN{i},DIN{i},,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",DATA_DFF
DATA_DFF,479,i in range(num_cols),f'dff_{i}',DFF,3,Q,DIN_dff{i},DIN_dff{i},,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",DATA_DFF
DATA_DFF,479,i in range(num_cols),f'dff_{i}',DFF,4,CLK,CLK,CLK,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",DATA_DFF
TIME,579,,'clkbuf',pdrive,0,VDD,VDD,VDD,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",TIME
