module_name,physical_role,pin_name,pin_category,net_category,pin_status,suggested_access_edge,suggested_access_direction,source_layer,synthesis_rule
wordline_decoder,ROW_DECODER,enable,SIGNAL,SIGNAL,SYNTHESIZED_PIN_FOR_CURRENT_GENERATOR,top,north_edge_access,11,C2_EDGE_ACCESS_NEAREST_BOUNDARY
decoder_gate_cells,ROW_DECODER,A[0],ADDRESS,ADDRESS,SYNTHESIZED_PIN_FOR_CURRENT_GENERATOR,left,west_edge_access,13,C2_EDGE_ACCESS_NEAREST_BOUNDARY
decoder_gate_cells,ROW_DECODER,A[1],ADDRESS,ADDRESS,SYNTHESIZED_PIN_FOR_CURRENT_GENERATOR,left,west_edge_access,13,C2_EDGE_ACCESS_NEAREST_BOUNDARY
decoder_gate_cells,ROW_DECODER,A[2],ADDRESS,ADDRESS,SYNTHESIZED_PIN_FOR_CURRENT_GENERATOR,left,west_edge_access,13,C2_EDGE_ACCESS_NEAREST_BOUNDARY
decoder_gate_cells,ROW_DECODER,A[3],ADDRESS,ADDRESS,SYNTHESIZED_PIN_FOR_CURRENT_GENERATOR,left,west_edge_access,13,C2_EDGE_ACCESS_NEAREST_BOUNDARY
decoder_gate_cells,ROW_DECODER,GND,GROUND,GROUND,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,11,
decoder_gate_cells,ROW_DECODER,VDD,POWER,POWER,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,11,
decoder_gate_cells,ROW_DECODER,dec_stage[0],SIGNAL,SIGNAL,SYNTHESIZED_PIN_FOR_CURRENT_GENERATOR,right,east_edge_access,13,C2_EDGE_ACCESS_NEAREST_BOUNDARY
decoder_gate_cells,ROW_DECODER,enable,SIGNAL,SIGNAL,SYNTHESIZED_PIN_FOR_CURRENT_GENERATOR,top,north_edge_access,11,C2_EDGE_ACCESS_NEAREST_BOUNDARY
wordline_driver,WORDLINE_DRIVER,A,ADDRESS,ADDRESS,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,11,
wordline_driver,WORDLINE_DRIVER,B,CONTROL,CONTROL,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,11,
wordline_driver,WORDLINE_DRIVER,D,DATA_IN,DATA_IN,SYNTHESIZED_PIN_FOR_CURRENT_GENERATOR,bottom,south_edge_access,11,C2_EDGE_ACCESS_NEAREST_BOUNDARY
wordline_driver,WORDLINE_DRIVER,G,SIGNAL,SIGNAL,SYNTHESIZED_PIN_FOR_CURRENT_GENERATOR,bottom,south_edge_access,9,C2_EDGE_ACCESS_NEAREST_BOUNDARY
wordline_driver,WORDLINE_DRIVER,GND,GROUND,GROUND,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,11,
wordline_driver,WORDLINE_DRIVER,S,SIGNAL,SIGNAL,SYNTHESIZED_PIN_FOR_CURRENT_GENERATOR,bottom,south_edge_access,11,C2_EDGE_ACCESS_NEAREST_BOUNDARY
wordline_driver,WORDLINE_DRIVER,VDD,POWER,POWER,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,11,
wordline_driver,WORDLINE_DRIVER,Z,WORDLINE,WORDLINE,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,11,
wordline_driver_gate_cells,WORDLINE_DRIVER,DEC_WL[0],SIGNAL,SIGNAL,SYNTHESIZED_PIN_FOR_CURRENT_GENERATOR,left,west_edge_access,13,C2_EDGE_ACCESS_NEAREST_BOUNDARY
wordline_driver_gate_cells,WORDLINE_DRIVER,DEC_WL[1],SIGNAL,SIGNAL,SYNTHESIZED_PIN_FOR_CURRENT_GENERATOR,left,west_edge_access,13,C2_EDGE_ACCESS_NEAREST_BOUNDARY
wordline_driver_gate_cells,WORDLINE_DRIVER,DEC_WL[2],SIGNAL,SIGNAL,SYNTHESIZED_PIN_FOR_CURRENT_GENERATOR,left,west_edge_access,13,C2_EDGE_ACCESS_NEAREST_BOUNDARY
wordline_driver_gate_cells,WORDLINE_DRIVER,DEC_WL[3],SIGNAL,SIGNAL,SYNTHESIZED_PIN_FOR_CURRENT_GENERATOR,left,west_edge_access,13,C2_EDGE_ACCESS_NEAREST_BOUNDARY
wordline_driver_gate_cells,WORDLINE_DRIVER,GND,GROUND,GROUND,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,11,
wordline_driver_gate_cells,WORDLINE_DRIVER,VDD,POWER,POWER,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,11,
wordline_driver_gate_cells,WORDLINE_DRIVER,WL[0],WORDLINE,WORDLINE,SYNTHESIZED_PIN_FOR_CURRENT_GENERATOR,right,east_edge_access,13,C2_EDGE_ACCESS_NEAREST_BOUNDARY
wordline_driver_gate_cells,WORDLINE_DRIVER,WL[1],WORDLINE,WORDLINE,SYNTHESIZED_PIN_FOR_CURRENT_GENERATOR,right,east_edge_access,13,C2_EDGE_ACCESS_NEAREST_BOUNDARY
wordline_driver_gate_cells,WORDLINE_DRIVER,WL[2],WORDLINE,WORDLINE,SYNTHESIZED_PIN_FOR_CURRENT_GENERATOR,right,east_edge_access,13,C2_EDGE_ACCESS_NEAREST_BOUNDARY
wordline_driver_gate_cells,WORDLINE_DRIVER,WL[3],WORDLINE,WORDLINE,SYNTHESIZED_PIN_FOR_CURRENT_GENERATOR,right,east_edge_access,13,C2_EDGE_ACCESS_NEAREST_BOUNDARY
wordline_driver_gate_cells,WORDLINE_DRIVER,wl_en,WORDLINE,WORDLINE,SYNTHESIZED_PIN_FOR_CURRENT_GENERATOR,top,north_edge_access,11,C2_EDGE_ACCESS_NEAREST_BOUNDARY
column_mux,COLUMN_MUX,D,DATA_IN,DATA_IN,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,11,
column_mux,COLUMN_MUX,G,SIGNAL,SIGNAL,SYNTHESIZED_PIN_FOR_CURRENT_GENERATOR,left,west_edge_access,9,C2_EDGE_ACCESS_NEAREST_BOUNDARY
column_mux,COLUMN_MUX,GND,GROUND,GROUND,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,11,
column_mux,COLUMN_MUX,S,SIGNAL,SIGNAL,SYNTHESIZED_PIN_FOR_CURRENT_GENERATOR,left,west_edge_access,11,C2_EDGE_ACCESS_NEAREST_BOUNDARY
column_mux,COLUMN_MUX,VDD,POWER,POWER,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,11,
column_mux,COLUMN_MUX,bl,BITLINE,BITLINE,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
column_mux,COLUMN_MUX,bl/br,BITLINE,BITLINE,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,2,
column_mux,COLUMN_MUX,bl_out,BITLINE,BITLINE,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
column_mux,COLUMN_MUX,br,BITLINE_BAR,BITLINE_BAR,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
column_mux,COLUMN_MUX,br_out,BITLINE_BAR,BITLINE_BAR,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
column_mux,COLUMN_MUX,sel,CONTROL,CONTROL,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,9,
sense_amp,SENSE_AMP,GND,GROUND,GROUND,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
sense_amp,SENSE_AMP,VDD,POWER,POWER,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
sense_amp,SENSE_AMP,bl,BITLINE,BITLINE,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
sense_amp,SENSE_AMP,bl/br,BITLINE,BITLINE,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,239,
sense_amp,SENSE_AMP,br,BITLINE_BAR,BITLINE_BAR,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
sense_amp,SENSE_AMP,dout,DATA_OUT,DATA_OUT,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
sense_amp,SENSE_AMP,en,CONTROL,CONTROL,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,11,
write_driver,WRITE_DRIVER,GND,GROUND,GROUND,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
write_driver,WRITE_DRIVER,VDD,POWER,POWER,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
write_driver,WRITE_DRIVER,bl,BITLINE,BITLINE,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
write_driver,WRITE_DRIVER,bl/br,BITLINE,BITLINE,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,239,
write_driver,WRITE_DRIVER,br,BITLINE_BAR,BITLINE_BAR,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
write_driver,WRITE_DRIVER,din,DATA_IN,DATA_IN,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
write_driver,WRITE_DRIVER,en,CONTROL,CONTROL,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,11,
precharge,COLUMN_PRECHARGE,GND,GROUND,GROUND,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,11,
precharge,COLUMN_PRECHARGE,VDD,POWER,POWER,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,11,
precharge,COLUMN_PRECHARGE,bl,BITLINE,BITLINE,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
precharge,COLUMN_PRECHARGE,bl/br,BITLINE,BITLINE,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,11,
precharge,COLUMN_PRECHARGE,br,BITLINE_BAR,BITLINE_BAR,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
precharge,COLUMN_PRECHARGE,en_bar,CONTROL,CONTROL,SYNTHESIZED_PIN_FOR_CURRENT_GENERATOR,left,west_edge_access,13,C2_EDGE_ACCESS_NEAREST_BOUNDARY
