module_name,source_file,source_line,source_loop_context,instance_name_expression,instance_name_template,child_constructor_alias,child_source_class,child_logical_module,child_pin_order,parent_net_connections,pin_count,connection_count,pin_connection_count_match,parameter_expression,topology_resolution_status,branch_condition,method_name
delay_chain,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,348,"i in range(1, 8) | j in range(4)",f'dload_{i}_{j}',f'dload_{i}_{j}',self.inv,Pinv,PINV,"['VDD', 'VSS', 'A', 'Z']","['VDD', 'VSS', 'dout_2', 'n_1_0']",4,4,True,"{'length': '5e-08', 'num': '1', '__args__': 'nmos_model|pmos_model|9e-08|2.7e-07'}",SOURCE_EXACT_RESOLVED,,add_delay_chain
delay_chain,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,352,,'dinv8','dinv8',self.inv,Pinv,PINV,"['VDD', 'VSS', 'A', 'Z']","['VDD', 'VSS', 'dout_8', 'out']",4,4,True,"{'length': '5e-08', 'num': '1', '__args__': 'nmos_model|pmos_model|9e-08|2.7e-07'}",SOURCE_EXACT_RESOLVED,,add_delay_chain
delay_chain,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,356,j in range(4),f'dload_8_{j}',f'dload_8_{j}',self.inv,Pinv,PINV,"['VDD', 'VSS', 'A', 'Z']","['VDD', 'VSS', 'out', 'n_8_0']",4,4,True,"{'length': '5e-08', 'num': '1', '__args__': 'nmos_model|pmos_model|9e-08|2.7e-07'}",SOURCE_EXACT_RESOLVED,,add_delay_chain
pdrive,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,87,,'buf_inv1','buf_inv1',self.inv1,Pinv,PINV,"['VDD', 'VSS', 'A', 'Z']","['VDD', 'VSS', 'A', 'zb1_node']",4,4,True,"{'num': '1', '__args__': 'nmos_model|pmos_model|9e-08 * s1|2.7e-07 * s1|5e-08'}",SOURCE_EXACT_RESOLVED,,add_buffer_chain
pdrive,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,91,,'buf_inv2','buf_inv2',self.inv2,Pinv,PINV,"['VDD', 'VSS', 'A', 'Z']","['VDD', 'VSS', 'zb1_node', 'zb2_node']",4,4,True,"{'num': '2', '__args__': 'nmos_model|pmos_model|2.7e-07 * s2|8.1e-07 * s2|5e-08'}",SOURCE_EXACT_RESOLVED,,add_buffer_chain
pdrive,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,95,,'buf_inv3','buf_inv3',self.inv3,Pinv,PINV,"['VDD', 'VSS', 'A', 'Z']","['VDD', 'VSS', 'zb2_node', 'zb3_node']",4,4,True,"{'num': '3', '__args__': 'nmos_model|pmos_model|9.1e-07 * s3|2.43e-06 * s3|5e-08'}",SOURCE_EXACT_RESOLVED,,add_buffer_chain
pdrive,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,99,,'buf_inv4','buf_inv4',self.inv4,Pinv,PINV,"['VDD', 'VSS', 'A', 'Z']","['VDD', 'VSS', 'zb3_node', 'Z']",4,4,True,"{'num': '4', '__args__': 'nmos_model|pmos_model|2.43e-06 * s4|7.29e-06 * s4|5e-08'}",SOURCE_EXACT_RESOLVED,,add_buffer_chain
pdrive2_for_pre,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,138,,'buf_inv1','buf_inv1',self.inv1,Pinv,PINV,"['VDD', 'VSS', 'A', 'Z']","['VDD', 'VSS', 'A', 'zb1_node']",4,4,True,"{'num': '1', '__args__': 'nmos_model|pmos_model|9e-08 * stage1_scale|2.7e-07 * stage1_scale|5e-08'}",SOURCE_EXACT_RESOLVED,,add_buffer_chain
pdrive2_for_pre,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,142,,'buf_inv2','buf_inv2',self.inv2,Pinv,PINV,"['VDD', 'VSS', 'A', 'Z']","['VDD', 'VSS', 'zb1_node', 'Z']",4,4,True,"{'num': '2', '__args__': 'nmos_model|pmos_model|2.7e-07 * stage2_scale|8.1e-07 * stage2_scale|5e-08'}",SOURCE_EXACT_RESOLVED,,add_buffer_chain
wen_delay_chain,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,396,i in range(self.stages),f'winv{i}',f'winv{i}',self.inv,Pinv,PINV,"['VDD', 'VSS', 'A', 'Z']","['VDD', 'VSS', 'in', ""f'wen_dly_{i + 1}""]",4,4,True,"{'nmos_width': '9e-08', 'pmos_width': '2.7e-07', 'length': 'length', 'num': ""'_wen_delay'"", '__args__': 'nmos_model|pmos_model'}",SOURCE_EXACT_RESOLVED,,add_delay_chain
